time;FM1 ;FM2 ;FM3 ;FF1 ;FF2 ;FF3
0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.04;0.00;0.00;0.00;0.00;0.00;0.00
0.08;0.00;0.00;0.00;0.00;0.00;0.00
0.12;0.00;0.00;0.00;0.00;0.00;0.00
0.16;0.00;0.00;0.00;0.00;0.00;0.00
0.20;0.00;0.00;0.00;0.00;0.00;0.00
0.24;0.00;0.00;0.00;0.00;0.00;0.00
0.28;0.00;0.00;0.00;0.00;0.00;0.00
0.32;0.00;0.00;0.00;0.00;0.00;0.00
0.36;0.00;0.00;0.00;0.00;0.00;0.00
0.40;0.00;0.00;0.00;0.00;0.00;0.00
0.44;0.00;0.00;0.00;0.00;0.00;0.00
0.48;0.00;0.00;0.00;0.00;0.00;0.00
0.52;0.00;0.00;0.00;0.00;0.00;0.00
0.56;0.00;0.00;0.00;0.00;0.00;0.00
0.60;0.00;0.00;0.00;0.00;0.00;0.00
0.64;0.00;0.00;0.00;0.00;0.00;0.00
0.68;0.00;0.00;0.00;0.00;0.00;0.00
0.72;0.00;0.00;0.00;0.00;0.00;0.00
0.76;0.00;0.00;0.00;0.00;0.00;0.00
0.80;0.00;0.00;0.00;0.00;0.00;0.00
0.84;0.00;0.00;0.00;0.00;0.00;0.00
0.88;0.00;0.00;0.00;0.00;0.00;0.00
0.92;0.00;0.00;0.00;0.00;0.00;0.00
0.96;0.00;0.00;0.00;0.00;0.00;0.00
1.00;0.00;0.00;0.00;0.00;0.00;0.00
1.04;0.00;0.00;0.00;0.00;0.00;0.00
1.08;0.00;0.00;0.00;0.00;0.00;0.00
1.12;0.00;0.00;0.00;0.00;0.00;0.00
1.16;0.00;0.00;0.00;0.00;0.00;0.00
1.20;0.00;0.00;0.00;0.00;0.00;0.00
1.24;0.00;0.00;0.00;0.00;0.00;0.00
1.28;0.00;0.00;0.00;0.00;0.00;0.00
1.32;0.00;0.00;0.00;0.00;0.00;0.00
1.36;0.00;0.00;0.00;0.00;0.00;0.00
1.40;0.00;0.00;0.00;0.00;0.00;0.00
1.44;0.00;0.00;0.00;0.00;0.00;0.00
1.48;0.00;0.00;0.00;0.00;0.00;0.00
1.52;0.00;0.00;-0.01;0.00;0.00;0.00
1.56;0.00;0.00;-0.01;0.00;0.00;0.00
1.60;0.00;0.01;-0.01;0.01;0.00;0.00
1.64;0.00;0.01;-0.01;0.02;0.00;0.00
1.68;0.00;0.01;0.00;0.02;0.00;0.00
1.72;0.00;0.01;0.00;0.02;0.00;0.00
1.76;0.00;0.01;0.00;0.02;0.00;0.00
